university,event_name,event_type,date,time,location,description
LUMS,LUMS Entrepreneurship Summit,Conference,2026-07-10,09:00 AM,"LUMS SDSB Auditorium","Founders and investors share startup journeys with live pitch sessions and networking."
LUMS,AI for Good Workshop,Workshop,2026-07-18,02:00 PM,"LUMS SBASSE Lab 1","Hands-on session on building ethical AI models using Python and open datasets."
UET Lahore,UET Tech Olympiad,Competition,2026-08-02,10:00 AM,"UET Main Campus, KSK Block","Inter-university coding and robotics contest with cash prizes for the top teams."
UET Lahore,Renewable Energy Seminar,Seminar,2026-08-09,11:00 AM,"UET Electrical Engineering Department","Experts discuss solar and wind energy adoption and careers in the power sector."
FAST-NUCES Lahore,FAST DevDays Hackathon,Hackathon,2026-07-25,09:00 AM,"FAST CFD Campus, Block B","A 24-hour hackathon where teams build smart-city solutions from scratch."
FAST-NUCES Lahore,Cybersecurity Awareness Workshop,Workshop,2026-08-14,01:00 PM,"FAST Auditorium","Learn ethical hacking basics, password safety, and how to spot phishing attacks."
Punjab University,PU Literary Festival,Festival,2026-09-05,10:00 AM,"PU Al-Raazi Hall","Three days of poetry, debates, book stalls, and guest authors from across Pakistan."
Punjab University,Career Counselling Day,Seminar,2026-08-20,12:00 PM,"PU Institute of Business Administration","Guidance on jobs, scholarships, and higher studies for final-year students."
UMT,UMT Startup Expo,Festival,2026-09-12,11:00 AM,"UMT C-Building Lawn","Student startups showcase their products and prototypes to industry leaders."
UMT,Data Science Bootcamp,Workshop,2026-07-30,10:00 AM,"UMT SST Lab 4","A beginner-friendly introduction to pandas, numpy, and data visualization."
COMSATS Lahore,COMSATS Robotics Challenge,Competition,2026-08-28,09:30 AM,"COMSATS Defence Road Campus","Line-following and combat robot competition open to all engineering students."
GCU,GCU Science Gala,Festival,2026-09-19,10:00 AM,"GCU Bukhari Auditorium","Annual science exhibition with live experiments, project stalls, and expert talks."
